variable;code;vintage
;Macro-Meuro2015-ConsumptionExpenditure;
;Macro-number-Population;
;NUM-number-Res-HH;
Stock|Residential;SurfaceArea-ksqm-Res-HH;
;NUM-number-Res-HHnew;
;SurfaceArea-ksqm-Res-HHnew;
;HDD-Celsius-Actual;
;HDD-Celsius-Mean;
;HDD-ratio-Relative;
FE|Residential;FEC-ktoe-ES-Res;
FE|Residential|Coal;FEC-ktoe-ES-Res-Solids;
FE|Residential|Liquids;FEC-ktoe-ES-Res-LPG;
FE|Residential|Liquids;FEC-ktoe-ES-Res-Oil;
FE|Residential|Gases;FEC-ktoe-ES-Res-NG;
FE|Residential|Biomass;FEC-ktoe-ES-Res-Biomass_Waste;
FE|Residential|Gases;FEC-ktoe-ES-Res-Biogas;
FE|Residential|Liquids;FEC-ktoe-ES-Res-LiqBio;
;FEC-ktoe-ES-Res-Solar;
;FEC-ktoe-ES-Res-Geo;
FE|Residential|Ambient heat;FEC-ktoe-ES-Res-Ambient;
FE|Residential|Heat;FEC-ktoe-ES-Res-Steam_Distr;
FE|Residential|Electricity;FEC-ktoe-ES-Res-Elec;
;FEC-ktoe-Res-HH;
;FEC-ktoe-Res-HH-Thermal;
FE|Residential|Space heating;FEC-ktoe-Res-HH-Thermal-SH;
FE|Residential|Space cooling;FEC-ktoe-Res-HH-Thermal-SC;
FE|Residential|Water heating;FEC-ktoe-Res-HH-Thermal-WH;
FE|Residential|Cooking;FEC-ktoe-Res-HH-Thermal-CO;
FE|Residential|Appliances and lighting;FEC-ktoe-Res-HH-Appl;
Emi|CO2|Residential;EMI-ktCO2-ES-Res;
Emi|CO2|Residential|Coal;EMI-ktCO2-ES-Res-Solids;
Emi|CO2|Residential|Liquids;EMI-ktCO2-ES-Res-LPG;
;EMI-ktCO2-ES-Res-Oil;
Emi|CO2|Residential|Gases;EMI-ktCO2-ES-Res-NG;
Emi|CO2|Residential|Biomass;EMI-ktCO2-ES-Res-Biomass_Waste;
Emi|CO2|Residential|Gases;EMI-ktCO2-ES-Res-Biogas;
Emi|CO2|Residential|Liquids;EMI-ktCO2-ES-Res-LiqBio;
;EMI-ktCO2-ES-Res-Solar;
;EMI-ktCO2-ES-Res-Geo;
Emi|CO2|Residential|Ambient heat;EMI-ktCO2-ES-Res-Ambient;
Emi|CO2|Residential|Heat;EMI-ktCO2-ES-Res-Steam_Distr;
Emi|CO2|Residential|Electricity;EMI-ktCO2-ES-Res-Elec;
;EMI-ktCO2-Res-HH;
;EMI-ktCO2-Res-HH-Thermal;
Emi|CO2|Residential|Space heating;EMI-ktCO2-Res-HH-Thermal-SH;
Emi|CO2|Residential|Space cooling;EMI-ktCO2-Res-HH-Thermal-SC;
Emi|CO2|Residential|Water heating;EMI-ktCO2-Res-HH-Thermal-WH;
Emi|CO2|Residential|Cooking;EMI-ktCO2-Res-HH-Thermal-CO;
Emi|CO2|Residential|Appliances and lighting;EMI-ktCO2-Res-HH-Appl;
;FEC_per_household-kWh-Res-HH;
;FEC_per_household-kWh-Res-HH-Thermal;
;FEC_per_household-kWh-Res-HH-Thermal-SH;
;FEC_per_household-kWh-Res-HH-Thermal-SC;
;FEC_per_household-kWh-Res-HH-Thermal-WH;
;FEC_per_household-kWh-Res-HH-Thermal-CO;
;FEC_per_household-kWh-Res-HH-Appl;
;TES_per_household-kWh-Res-HH-Thermal;
;TES_per_household-kWh-Res-HH-Thermal-SH;
;TES_per_household-kWh-Res-HH-Thermal-SC;
;TES_per_household-kWh-Res-HH-Thermal-WH;
;TES_per_household-kWh-Res-HH-Thermal-CO;
;EMI_per_household-kgCO2-Res-HH;
;EMI_per_household-kgCO2-Res-HH-Thermal;
;EMI_per_household-kgCO2-Res-HH-Thermal-SH;
;EMI_per_household-kgCO2-Res-HH-Thermal-SC;
;EMI_per_household-kgCO2-Res-HH-Thermal-WH;
;EMI_per_household-kgCO2-Res-HH-Thermal-CO;
;EMI_per_household-kgCO2-Res-HH-Appl;
;Eff-ratio-Res-HH-Thermal;
;Eff-ratio-Res-HH-Thermal-SH;
;Eff-ratio-Res-HH-Thermal-SC;
;Eff-ratio-Res-HH-Thermal-WH;
;Eff-ratio-Res-HH-Thermal-CO;
;FEC_per_sqm-kWh-Res-HH;
;FEC_per_sqm-kWh-Res-HH-Thermal;
;FEC_per_sqm-kWh-Res-HH-Thermal-SH;
;FEC_per_sqm-kWh-Res-HH-Thermal-SC;
;FEC_per_sqm-kWh-Res-HH-Thermal-WH;
;FEC_per_sqm-kWh-Res-HH-Thermal-CO;
;FEC_per_sqm-kWh-Res-HH-Appl;
;TES_per_sqm-kWh-Res-HH-Thermal;
;TES_per_sqm-kWh-Res-HH-Thermal-SH;
;TES_per_sqm-kWh-Res-HH-Thermal-SC;
;TES_per_sqm-kWh-Res-HH-Thermal-WH;
;TES_per_sqm-kWh-Res-HH-Thermal-CO;
;EMI_per_sqm-kgCO2-Res-HH;
;EMI_per_sqm-kgCO2-Res-HH-Thermal;
;EMI_per_sqm-kgCO2-Res-HH-Thermal-SH;
;EMI_per_sqm-kgCO2-Res-HH-Thermal-SC;
;EMI_per_sqm-kgCO2-Res-HH-Thermal-WH;
;EMI_per_sqm-kgCO2-Res-HH-Thermal-CO;
;EMI_per_sqm-kgCO2-Res-HH-Appl;
;FEC_per_capita-kWh-Res-HH;
;FEC_per_capita-kWh-Res-HH-Thermal;
;FEC_per_capita-kWh-Res-HH-Thermal-SH;
;FEC_per_capita-kWh-Res-HH-Thermal-SC;
;FEC_per_capita-kWh-Res-HH-Thermal-WH;
;FEC_per_capita-kWh-Res-HH-Thermal-CO;
;FEC_per_capita-kWh-Res-HH-Appl;
;TES_per_capita-kWh-Res-HH-Thermal;
;TES_per_capita-kWh-Res-HH-Thermal-SH;
;TES_per_capita-kWh-Res-HH-Thermal-SC;
;TES_per_capita-kWh-Res-HH-Thermal-WH;
;TES_per_capita-kWh-Res-HH-Thermal-CO;
;EMI_per_capita-kgCO2-Res-HH;
;EMI_per_capita-kgCO2-Res-HH-Thermal;
;EMI_per_capita-kgCO2-Res-HH-Thermal-SH;
;EMI_per_capita-kgCO2-Res-HH-Thermal-SC;
;EMI_per_capita-kgCO2-Res-HH-Thermal-WH;
;EMI_per_capita-kgCO2-Res-HH-Thermal-CO;
;EMI_per_capita-kgCO2-Res-HH-Appl;
;NUM-number-Res-HH-Thermal;
;NUM-number-Res-HH-Thermal-SH;
;NUM-number-Res-HH-Thermal-SH-Solids;
;NUM-number-Res-HH-Thermal-SH-LPG;
;NUM-number-Res-HH-Thermal-SH-Oil;
;NUM-number-Res-HH-Thermal-SH-Gas;
;NUM-number-Res-HH-Thermal-SH-Biomass;
;NUM-number-Res-HH-Thermal-SH-Geo;
;NUM-number-Res-HH-Thermal-SH-DistrHeat;
;NUM-number-Res-HH-Thermal-SH-AdvElc;
;NUM-number-Res-HH-Thermal-SH-ConvElc;
;NUM-number-Res-HH-Thermal-SC;
;NUM-number-Res-HH-Thermal-SC-AC;
;NUM-number-Res-HH-Thermal-WH;
;NUM-number-Res-HH-Thermal-WH-Solids;
;NUM-number-Res-HH-Thermal-WH-LPG;
;NUM-number-Res-HH-Thermal-WH-Oil;
;NUM-number-Res-HH-Thermal-WH-Gas;
;NUM-number-Res-HH-Thermal-WH-Biomass;
;NUM-number-Res-HH-Thermal-WH-Geo;
;NUM-number-Res-HH-Thermal-WH-DistrHeat;
;NUM-number-Res-HH-Thermal-WH-Elc;
;NUM-number-Res-HH-Thermal-WH-Solar;
;NUM-number-Res-HH-Thermal-CO;
;NUM-number-Res-HH-Thermal-CO-Solids;
;NUM-number-Res-HH-Thermal-CO-LPG;
;NUM-number-Res-HH-Thermal-CO-Gas;
;NUM-number-Res-HH-Thermal-CO-Biomass;
;NUM-number-Res-HH-Thermal-CO-Elc;
FE|Residential|Space heating|Coal;FEC-ktoe-Res-HH-Thermal-SH-Solids-Solids;
FE|Residential|Space heating|Liquids;FEC-ktoe-Res-HH-Thermal-SH-LPG-LPG;
FE|Residential|Space heating|Liquids;FEC-ktoe-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
FE|Residential|Space heating|Gases;FEC-ktoe-Res-HH-Thermal-SH-Gas-NG_Biogas;
FE|Residential|Space heating|Biomass;FEC-ktoe-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;FEC-ktoe-Res-HH-Thermal-SH-Geo-Geo;
FE|Residential|Space heating|Heat;FEC-ktoe-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
