variable;ITEM;ENDUSE;comment
StockShare|Residential|Liquids;ACT_DWEL_OIL;DATA;
StockShare|Residential|Heat;ACT_DWEL_HEAT;DATA;
StockShare|Residential|Gases;ACT_DWEL_GAS;DATA;
StockShare|Residential|Electricity;ACT_DWEL_ELE;DATA;
StockShare|Residential|Biomass;ACT_DWEL_REN;DATA;mapping biofues to biomass
Stock|Residential;ACT_R_AREA;DATA;
Stock|Commercial;ACT_S_AREA;DATA;
FE|Residential|Water heating|Solarthermal;E_SOLTHERM;R_WATER_H;
FE|Residential|Water heating|Liquids;E_OIL;R_WATER_H;
FE|Residential|Water heating|Heat;E_DHEAT;R_WATER_H;
FE|Residential|Water heating|Gases;E_GAS;R_WATER_H;
FE|Residential|Water heating|Electricity;E_ELEC;R_WATER_H;
FE|Residential|Water heating|Coal;E_COAL;R_WATER_H;
FE|Residential|Water heating|Biomass;E_WOOD;R_WATER_H;
FE|Residential|Water heating;E_FINAL;R_WATER_H;
FE|Residential|Space heating|Liquids;E_OIL;R_SPACE_H;
FE|Residential|Space heating|Heat;E_DHEAT;R_SPACE_H;
FE|Residential|Space heating|Gases;E_GAS;R_SPACE_H;
FE|Residential|Space heating|Electricity;E_ELEC;R_SPACE_H;
FE|Residential|Space heating|Coal;E_COAL;R_SPACE_H;
FE|Residential|Space heating|Biomass;E_WOOD;R_SPACE_H;
FE|Residential|Space heating|;E_FINAL;R_SPACE_H;
FE|Residential|Space cooling|Electricity;E_ELEC;R_SPACE_C;
FE|Residential|Space cooling;E_FINAL;R_SPACE_C;
FE|Residential|Liquids;E_OIL;R_TOTAL;
FE|Residential|Heat;E_DHEAT;R_TOTAL;
FE|Residential|Gases;E_GAS;R_TOTAL;
FE|Residential|Electricity;E_ELEC;R_TOTAL;
FE|Residential|Cooking|Liquids;E_OIL;R_COOKING;
FE|Residential|Cooking|Gases;E_GAS;R_COOKING;
FE|Residential|Cooking|Electricity;E_ELEC;R_COOKING;
FE|Residential|Cooking|Coal;E_COAL;R_COOKING;
FE|Residential|Cooking|Biomass;E_WOOD;R_COOKING;
FE|Residential|Cooking;E_FINAL;R_COOKING;
FE|Residential|Coal;E_COAL;R_TOTAL;
FE|Residential|Biomass;E_WOOD;R_TOTAL;
FE|Residential|Appliances and lighting|Electricity;E_ELEC;R_APPLIANC;summing appliances + lighting
FE|Residential|Appliances and lighting|Electricity;E_ELEC;R_LIGHTING;summing appliances + lighting
FE|Residential|Appliances and lighting;E_FINAL;R_APPLIANC;summing appliances + lighting
FE|Residential|Appliances and lighting;E_FINAL;R_LIGHTING;summing appliances + lighting
FE|Residential;E_FINAL;R_TOTAL;
FE|Commercial|Space heating|Liquids;E_OIL;S_SPACE_H;
FE|Commercial|Space heating|Heat;E_DHEAT;S_SPACE_H;
FE|Commercial|Space heating|Gases;E_GAS;S_SPACE_H;
FE|Commercial|Space heating|Electricity;E_ELEC;S_SPACE_H;
FE|Commercial|Space heating|Coal;E_COAL;S_SPACE_H;
FE|Commercial|Space heating|Biomass;E_WOOD;S_SPACE_H;
FE|Commercial|Space heating;E_FINAL;S_SPACE_H;
FE|Commercial|Space cooling|Liquids;E_OIL;S_SPACE_C;
FE|Commercial|Space cooling|Heat;E_DHEAT;S_SPACE_C;
FE|Commercial|Space cooling|Gases;E_GAS;S_SPACE_C;
FE|Commercial|Space cooling|Electricity;E_ELEC;S_SPACE_C;
FE|Commercial|Space cooling;E_FINAL;S_SPACE_C;
FE|Commercial|Space cooling|Biomass;E_WOOD;S_SPACE_C;
FE|Commercial|Liquids;E_OIL;S_ALL;
FE|Commercial|Lighting|Electricity;E_ELEC;S_LIGHTING;
FE|Commercial|Lighting;E_FINAL;S_LIGHTING;
FE|Commercial|Heat;E_DHEAT;S_ALL;
FE|Commercial|Gases;E_GAS;S_ALL;
FE|Commercial|Electricity;E_ELEC;S_ALL;
FE|Commercial|Coal;E_COAL;S_ALL;
FE|Commercial|Biomass;E_WOOD;S_ALL;
FE|Commercial;E_FINAL;S_ALL;
FE|Buildings|ICT|Electricity;E_ELEC;S_IC;
FE|Buildings|ICT;E_FINAL;S_IC;
Emi|CO2|Residential|Water heating|Liquids;C_OIL;R_WATER_H;
Emi|CO2|Residential|Water heating|Heat;C_DHEAT;R_WATER_H;
Emi|CO2|Residential|Water heating|Gases;C_GAS;R_WATER_H;
Emi|CO2|Residential|Water heating|Electricity;C_ELEC;R_WATER_H;
Emi|CO2|Residential|Water heating|Coal;C_COAL;R_WATER_H;
Emi|CO2|Residential|Water heating;C_FINAL;R_WATER_H;
Emi|CO2|Residential|Space heating|Liquids;C_OIL;R_SPACE_H;
Emi|CO2|Residential|Space heating|Heat;C_DHEAT;R_SPACE_H;
Emi|CO2|Residential|Space heating|Gases;C_GAS;R_SPACE_H;
Emi|CO2|Residential|Space heating|Electricity;C_ELEC;R_SPACE_H;
Emi|CO2|Residential|Space heating|Coal;C_COAL;R_SPACE_H;
Emi|CO2|Residential|Space heating;C_FINAL;R_SPACE_H;
Emi|CO2|Residential|Space cooling|Electricity;C_ELEC;R_SPACE_C;
Emi|CO2|Residential|Space cooling;C_FINAL;R_SPACE_C;
Emi|CO2|Residential|Liquids;C_OIL;R_TOTAL;
Emi|CO2|Residential|Heat;C_DHEAT;R_TOTAL;
Emi|CO2|Residential|Gases;C_GAS;R_TOTAL;
Emi|CO2|Residential|Electricity;C_ELEC;R_TOTAL;
Emi|CO2|Residential|Cooking|Liquids;C_OIL;R_COOKING;
Emi|CO2|Residential|Cooking|Gases;C_GAS;R_COOKING;
Emi|CO2|Residential|Cooking|Electricity;C_ELEC;R_COOKING;
Emi|CO2|Residential|Cooking|Coal;C_COAL;R_COOKING;
Emi|CO2|Residential|Cooking;C_FINAL;R_COOKING;
Emi|CO2|Residential|Coal;C_COAL;R_TOTAL;
Emi|CO2|Residential|Appliances and lighting|Electricity;C_ELEC;R_APPLIANC;summing appliances + lighting
Emi|CO2|Residential|Appliances and lighting|Electricity;C_ELEC;R_LIGHTING;summing appliances + lighting
Emi|CO2|Residential|Appliances and lighting;C_FINAL;R_APPLIANC;summing appliances + lighting
Emi|CO2|Residential|Appliances and lighting;C_FINAL;R_LIGHTING;summing appliances + lighting
Emi|CO2|Residential;C_FINAL;R_TOTAL;
Emi|CO2|Commercial|Liquids;C_OIL;S_ALL;
Emi|CO2|Commercial|Heat;C_DHEAT;S_ALL;
Emi|CO2|Commercial|Gases;C_GAS;S_ALL;
Emi|CO2|Commercial|Electricity;C_ELEC;S_ALL;
Emi|CO2|Commercial|Space heating|Liquids;C_OIL;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Heat;C_DHEAT;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Gases;C_GAS;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Electricity;C_ELEC;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Coal;C_COAL;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Biomass;C_WOOD;S_SPACE_H;
Emi|CO2|Commercial|Space heating;C_FINAL;S_SPACE_H;
Emi|CO2|Commercial|Space cooling|Liquids;C_OIL;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Heat;C_DHEAT;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Gases;C_GAS;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Electricity;C_ELEC;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Biomass;C_WOOD;S_SPACE_C;
Emi|CO2|Commercial|Space cooling;C_FINAL;S_SPACE_C;
Emi|CO2|Commercial|Lighting|Electricity;C_ELEC;S_LIGHTING;
Emi|CO2|Commercial|Lighting;C_FINAL;S_LIGHTING;
Emi|CO2|Commercial|Coal;C_COAL;S_ALL;
Emi|CO2|Commercial|Biomass;C_WOOD;S_ALL;
Emi|CO2|Commercial;C_FINAL;S_ALL;
;C_FINAL;AIR;
;C_JETF;AIR;
;C_OTHER;AIR;
;E_FINAL;AIR;
;E_JETF;AIR;
;E_OTHER;AIR;
;ACT_C_DDAYS;DATA;
;ACT_CEMENT;DATA;
;ACT_H_DDAYS;DATA;
;ACT_POP;DATA;
;ACT_S_EMPLOY;DATA;
;ACT_STEEL;DATA;
;ACT_TKM;F_AIR;
;C_JETF;F_AIR;
;CI_PC;F_AIR;
;CI_TKM;F_AIR;
;E_FINAL;F_AIR;
;E_JETF;F_AIR;
;EI_PC;F_AIR;
;EI_TKM;F_AIR;
;EI_TKM_PC;F_AIR;
;C_FINAL;F_AIR ;
;ACT_VST;F_LTRUCKS;
;ACT_TKM;F_RAIL;
;ACT_VKM;F_RAIL;
;ACT_VST;F_RAIL;
;C_DIESEL;F_RAIL;
;C_ELEC;F_RAIL;
;C_FINAL;F_RAIL;
;C_OTHER;F_RAIL;
;CI_PC;F_RAIL;
;CI_TKM;F_RAIL;
;CI_VKM;F_RAIL;
;E_DIESEL;F_RAIL;
;E_ELEC;F_RAIL;
;E_FINAL;F_RAIL;
;EI_LOAD_F;F_RAIL;
;EI_PC;F_RAIL;
;EI_TKM;F_RAIL;
;EI_TKM_PC;F_RAIL;
;EI_VKM;F_RAIL;
;EI_VKM_PC;F_RAIL;
;EI_VUSE;F_RAIL;
;E_OTHER;F_RAIL ;
;ACT_TKM;F_TOTAL;
;C_COAL;F_TOTAL;
;C_DIESEL;F_TOTAL;
;C_ELEC;F_TOTAL;
;C_FINAL;F_TOTAL;
;C_GAS;F_TOTAL;
;C_GASOL;F_TOTAL;
;C_HFO;F_TOTAL;
;C_JETF;F_TOTAL;
;C_LPG;F_TOTAL;
;C_OTHER;F_TOTAL;
;CI_PC;F_TOTAL;
;CI_TKM;F_TOTAL;
;E_COAL;F_TOTAL;
;E_DIESEL;F_TOTAL;
;E_ELEC;F_TOTAL;
;E_FINAL;F_TOTAL;
;E_GAS;F_TOTAL;
;E_GASOL;F_TOTAL;
;E_HFO;F_TOTAL;
;E_JETF;F_TOTAL;
;E_LPG;F_TOTAL;
;E_OTHER;F_TOTAL;
;EI_PC;F_TOTAL;
;EI_TKM;F_TOTAL;
;EI_TKM_PC;F_TOTAL;
;ACT_TKM;F_TRUCKS;
;ACT_VKM;F_TRUCKS;
;ACT_VST;F_TRUCKS;
;C_DIESEL;F_TRUCKS;
;C_ELEC;F_TRUCKS;
;C_FINAL;F_TRUCKS;
;C_GAS;F_TRUCKS;
;C_GASOL;F_TRUCKS;
;C_LPG;F_TRUCKS;
;C_OTHER;F_TRUCKS;
;CI_PC;F_TRUCKS;
;CI_TKM;F_TRUCKS;
;CI_VKM;F_TRUCKS;
;E_DIESEL;F_TRUCKS;
;E_ELEC;F_TRUCKS;
;E_FINAL;F_TRUCKS;
;E_GAS;F_TRUCKS;
;E_GASOL;F_TRUCKS;
;E_LPG;F_TRUCKS;
;E_OTHER;F_TRUCKS;
;EI_FUEL_INT;F_TRUCKS;
;EI_LOAD_F;F_TRUCKS;
;EI_PC;F_TRUCKS;
;EI_TKM;F_TRUCKS;
;EI_TKM_PC;F_TRUCKS;
;EI_VKM;F_TRUCKS;
;EI_VKM_PC;F_TRUCKS;
;EI_VUSE;F_TRUCKS;
;ACT_TKM;F_WATER;
