variable,.variable,typ,hs,.comment,.color
MFH_libo,nbriprpet*suripr,MFH,libo,,Liquids heater
MFH_gabo,nbriprgaz*suripr,MFH,gabo,,Gas heater
MFH_dihe,nbriprvap*suripr,MFH,dihe,,District heating
MFH_biom,nbriprboi*suripr,MFH,biom,,Biomass heater
MFH_elec,nbriprele*suripr,MFH,ehp1,,Electricity
MFH_elec,nbriprele*suripr,MFH,reel,,Electricity
MFH_ehp1,nbriprelehp*suripr,MFH,ehp1,,Heat pump
MFH_reel,nbriprelerh*suripr,MFH,reel,,Resistive electric
SFH_libo,nbrmprpet*surmpr,SFH,libo,,Liquids heater
SFH_gabo,nbrmprgaz*surmpr,SFH,gabo,,Gas heater
SFH_dihe,nbrmprvap*surmpr,SFH,dihe,,District heating
SFH_biom,nbrmprboi*surmpr,SFH,biom,,Biomass heater
SFH_elec,nbrmprele*surmpr,SFH,ehp1,,Electricity
SFH_elec,nbrmprele*surmpr,SFH,reel,,Electricity
SFH_ehp1,nbrmprelehp*surmpr,SFH,ehp1,,Heat pump
SFH_reel,nbrmprelerh*surmpr,SFH,reel,,Resistive electric
